,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,hedges
50,condition,ici,newii,True,True,1.613849234519227,23.0,two-sided,0.12019752544927426,0.666,0.07996585620440565
51,condition,iic,iii,True,True,-1.1056629646097933,23.0,two-sided,0.2803042045711305,0.371,-0.06909753499463261
52,condition,iic,newcc,True,True,0.36690013840171043,23.0,two-sided,0.7170475276106643,0.228,0.025848759121305274
53,condition,iic,newci,True,True,-1.0422322086632634,23.0,two-sided,0.3081359820339472,0.349,-0.07155164793604224
54,condition,iic,newic,True,True,0.17302887857965846,23.0,two-sided,0.8641424269738085,0.218,0.010636973840044448
55,condition,iic,newii,True,True,-0.49857531186808923,23.0,two-sided,0.6228132795541098,0.24,-0.034068051425205116
56,condition,iii,newcc,True,True,1.9014405130874577,23.0,two-sided,0.06984469337834599,1.002,0.09499006104076325
57,condition,iii,newci,True,True,-0.06132974009010045,23.0,two-sided,0.9516264373448429,0.215,-0.003906344329451422
58,condition,iii,newic,True,True,1.3775184840474957,23.0,two-sided,0.18160999094009378,0.495,0.07845844613210474
59,condition,iii,newii,True,True,0.5471662969646082,23.0,two-sided,0.5895348017801052,0.246,0.032683143717848084
60,condition,newcc,newci,True,True,-2.8715067838021406,23.0,two-sided,0.008623361683711351,5.485,-0.09689745348023458
61,condition,newcc,newic,True,True,-0.48643470549244194,23.0,two-sided,0.6312618953877835,0.239,-0.01472515360214895
62,condition,newcc,newii,True,True,-1.5231707103911512,23.0,two-sided,0.14134823175725467,0.592,-0.059054298015641854
63,condition,newci,newic,True,True,2.4920490982796717,23.0,two-sided,0.02034763513297334,2.684,0.08070456454518811
64,condition,newci,newii,True,True,1.0924169103179509,23.0,two-sided,0.2859608566372476,0.366,0.03582111282870621
65,condition,newic,newii,True,True,-1.4617498636179656,23.0,two-sided,0.15733928965611219,0.548,-0.0437660376768037
